prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	366	536795	536795	46356518	46356518	const	270	-46316565.906	-0.999138155846	3427
1	365	536795	383528	46356518	29727117	lin	600	-29687274.0647	-0.998659710751	3427
1	324	536795	85831	46356518	4410737	mcpc	1	-4375369.57249	-0.991981515218	3427
1	354	536795	287805	46356518	17979287	ortb	1310	-17940644.8107	-0.997850738501	3427
1	274	536795	439100	46356518	33850340	rand	480	-33820430.5088	-0.999116419771	3427
16	26	32984	32984	2897282	2897293	const	270	-2894380.8731	-0.999020396146	3427
16	315	536795	55415	2897282	2709021	lin	50	-2674636.00103	-0.987307223173	3427
16	173	295995	56715	2897282	2897285	mcpc	1	-2878245.54025	-0.993481666424	3427
16	314	536795	71037	2897282	2719239	ortb	200	-2684963.15975	-0.987395061543	3427
16	26	49456	39221	2897282	2897358	rand	420	-2894342.8731	-0.999020383297	3427
2	196	520905	398379	23178259	23178298	const	110	-23156842.8895	-0.999076931108	3427
2	362	536795	320235	23178259	23092890	lin	390	-23053374.5409	-0.998288847384	3427
2	324	536795	85831	23178259	4410737	mcpc	1	-4375369.57249	-0.991981515218	3427
2	354	536795	287805	23178259	17979287	ortb	1310	-17940644.8107	-0.997850738501	3427
2	200	473982	335678	23178259	23178317	rand	300	-23156408.2546	-0.999058093049	3427
32	15	32743	25527	1448641	1448685	const	120	-1446976.6191	-0.998869691372	3427
32	301	536795	27130	1448641	1435924	lin	25	-1403067.2232	-0.977118025191	3427
32	88	138071	28560	1448641	1448785	mcpc	1	-1439026.03203	-0.993368938442	3427
32	292	536795	31313	1448641	1160849	ortb	80	-1128974.65175	-0.972542209837	3427
32	17	27301	20372	1448641	1448650	rand	360	-1446717.30164	-0.998718947297	3427
4	101	358927	227964	11589129	11589197	const	85	-11578094.9686	-0.999048673979	3427
4	348	536795	183833	11589129	11255733	lin	180	-11217745.763	-0.996625076576	3427
4	324	536795	85831	11589129	4410737	mcpc	1	-4375369.57249	-0.991981515218	3427
4	344	536795	200661	11589129	10840470	ortb	740	-10802919.3979	-0.996536072509	3427
4	102	306754	190846	11589129	11589151	rand	230	-11577938.8099	-0.999039251013	3427
64	9	11111	9991	724320	724326	const	200	-723283.571458	-0.998643552863	3427
64	279	536795	10722	724320	637148	lin	12	-606692.715196	-0.952200611469	3427
64	36	72148	14571	724320	724356	mcpc	1	-720371.285832	-0.99457447364	3427
64	278	536795	17641	724320	697159	ortb	50	-666812.873923	-0.956471728721	3427
64	10	37870	16275	724320	724343	rand	130	-723163.412731	-0.998492813624	3427
8	48	194787	120137	5794564	5794600	const	85	-5789291.38111	-0.999095764801	3427
8	332	536795	99638	5794564	5282264	lin	95	-5246023.30267	-0.993139173406	3427
8	324	536795	85831	5794564	4410737	mcpc	1	-4375369.57249	-0.991981515218	3427
8	322	536795	108417	5794564	4621045	ortb	350	-4585895.88994	-0.992393687995	3427
8	49	167423	99426	5794564	5794623	rand	210	-5789179.22238	-0.99907692609	3427
1	287	523848	523848	43627585	43627585	const	270	-43583965.3539	-0.99900018197	3476
1	287	523848	364824	43627585	27846910	lin	550	-27803290.3539	-0.998433591156	3476
1	268	523848	135980	43627585	8103883	mcpc	1	-8063151.06567	-0.994973775617	3476
1	283	523848	307208	43627585	20193649	ortb	1370	-20150637.2932	-0.997870037913	3476
1	231	523848	427793	43627585	31826436	rand	460	-31791327.5044	-0.998896876306	3476
16	34	523848	110670	2726724	2369084	const	40	-2363916.51579	-0.997818783882	3476
16	224	523848	50603	2726724	2602416	lin	25	-2568371.39817	-0.986918078497	3476
16	88	136955	42602	2726724	2726795	mcpc	1	-2713308.335	-0.995094895518	3476
16	207	494425	63177	2726724	2726787	ortb	110	-2695256.14027	-0.988462000374	3476
16	34	322841	81901	2726724	2726753	rand	85	-2721533.51579	-0.998104858506	3476
