prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	378	661964	661964	68257100	68257100	const	300	-68204152.1374	-0.999224287838	2821
1	378	661964	654389	68257100	66800816	lin	700	-66747868.1374	-0.999207377009	2821
1	192	661964	360761	68257100	22154770	mcpc	1	-22127875.8476	-0.998786078464	2821
1	329	661964	572152	68257100	50222411	ortb	1370	-50176326.7492	-0.999082396686	2821
1	270	661964	523765	68257100	46321938	rand	500	-46284118.0981	-0.999183542324	2821
16	49	593304	178791	4266068	4266083	const	50	-4259198.38818	-0.998391112971	2821
16	72	661964	144967	4266068	4082095	lin	30	-4072009.69284	-0.997529379605	2821
16	41	204264	87521	4266068	4266128	mcpc	1	-4260283.97787	-0.998653777359	2821
16	72	645543	161603	4266068	4266098	ortb	110	-4255979.69284	-0.997635922763	2821
16	49	661964	149695	4266068	3673327	rand	75	-3666463.38818	-0.998131499913	2821
2	227	661964	494136	34128550	32840748	const	160	-32808951.2677	-0.999031790253	2821
2	240	601343	435849	34128550	34128585	lin	150	-34094821.3095	-0.99901496548	2821
2	192	661964	360761	34128550	22154770	mcpc	1	-22127875.8476	-0.998786078464	2821
2	241	630383	466686	34128550	34128561	ortb	800	-34094759.2358	-0.99901086343	2821
2	216	597349	425438	34128550	34128680	rand	360	-34098264.0785	-0.999113471036	2821
32	33	528527	120029	2133034	2133040	const	35	-2128406.56755	-0.997832925643	2821
32	49	504512	91823	2133034	2133036	lin	25	-2126102.38818	-0.996782127883	2821
32	26	149570	54033	2133034	2133049	mcpc	1	-2129355.08353	-0.998292582468	2821
32	46	519698	102901	2133034	2133053	ortb	80	-2126588.60931	-0.996979233933	2821
32	33	582352	106849	2133034	2133038	rand	60	-2128378.56755	-0.997832897196	2821
4	145	551258	337222	17064275	17064284	const	110	-17043870.312	-0.998809747269	2821
4	158	639751	308235	17064275	17064277	lin	75	-17042135.3537	-0.998703041492	2821
4	149	532085	284493	17064275	17064311	mcpc	1	-17043355.0171	-0.998776915937	2821
4	151	587559	321963	17064275	17064305	ortb	380	-17043118.8697	-0.998760501897	2821
4	129	443858	264170	17064275	17064318	rand	250	-17046140.4913	-0.998941087301	2821
64	24	471323	79619	1066517	1066522	const	25	-1063155.23095	-0.996847899233	2821
64	36	661964	71532	1066517	1065251	lin	14	-1060208.34642	-0.995266229668	2821
64	10	81656	28486	1066517	1066539	mcpc	1	-1065087.26289	-0.998686588967	2821
64	34	492734	69570	1066517	1066529	ortb	50	-1061716.49384	-0.995534364803	2821
64	24	637632	76396	1066517	1066535	rand	40	-1063153.23095	-0.996847893322	2821
8	82	618613	256713	8532137	8532147	const	70	-8520640.95573	-0.998653788878	2821
8	103	661964	211185	8532137	8392637	lin	45	-8378209.40781	-0.998280922648	2821
8	80	313621	154233	8532137	8532179	mcpc	1	-8520887.10316	-0.998686618061	2821
8	100	566241	217612	8532137	8532155	ortb	200	-8518129.62894	-0.998358281043	2821
8	85	472857	197063	8532137	8532157	rand	150	-8520224.7346	-0.998604537905	2821
