prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	287	523848	523848	43627585	43627585	const	270	-7938.90457644	-0.000181969838038	3476
1	287	523848	364824	43627585	27846910	lin	550	15772736.0954	0.566408843761	3476
1	268	523848	135980	43627585	8103883	mcpc	1	32628051.333	4.02622438318	3476
1	283	523848	307208	43627585	20193649	ortb	1370	22818057.777	1.12996208744	3476
1	231	523848	427793	43627585	31826436	rand	460	3282059.63778	0.103123693705	3476
16	34	523848	110670	2726724	2369084	const	40	2798400.20643	1.18121611831	3476
16	224	523848	50603	2726724	2602416	lin	25	31442185.8306	12.0819215032	3476
16	88	136955	42602	2726724	2726795	mcpc	1	10647982.0049	3.90510448221	3476
16	207	494425	63177	2726724	2726787	ortb	110	28734142.7274	10.5379996264	3476
16	34	322841	81901	2726724	2726753	rand	85	2440783.20643	0.895141493852	3476
2	185	523848	379308	21813792	20594788	const	90	7522405.47614	0.365257728127	3476
2	286	523848	268414	21813792	18518284	lin	240	24949377.2658	1.34728343435	3476
2	268	523848	135980	21813792	8103883	mcpc	1	32628051.333	4.02622438318	3476
2	283	523848	307208	21813792	20193649	ortb	1370	22818057.777	1.12996208744	3476
2	168	523848	317626	21813792	18805758	rand	210	6727693.37293	0.357746461107	3476
32	26	523848	77477	1363362	1270790	const	30	2680815.56962	2.10956615147	3476
32	190	523848	26763	1363362	1299998	lin	14	27577119.6241	21.2132015773	3476
32	38	77009	21957	1363362	1363377	mcpc	1	4412130.52483	3.23637730468	3476
32	179	523848	31846	1363362	1222302	ortb	50	25982982.4985	21.2574163329	3476
32	23	523848	56174	1363362	978321	rand	45	2517330.08082	2.57311258863	3476
4	110	376095	225250	10906896	10906954	const	75	5811450.25609	0.532824210339	3476
4	278	523848	172281	10906896	10742932	lin	110	31508850.629	2.93298427552	3476
4	268	523848	135980	10906896	8103883	mcpc	1	32628051.333	4.02622438318	3476
4	270	523848	189798	10906896	10607583	ortb	470	30428320.9922	2.86854422843	3476
4	96	476429	217361	10906896	10906925	rand	140	3683709.64167	0.337743257271	3476
64	13	337318	45642	681681	681683	const	25	1294130.78481	1.89846551539	3476
64	147	523848	12495	681681	554571	lin	8	21787198.9513	39.2865817926	3476
64	22	38132	10525	681681	681701	mcpc	1	2662038.25122	3.90541211807	3476
64	116	523848	9912	681681	321052	ortb	20	17309188.2337	53.9139710505	3476
64	14	456339	42093	681681	681689	rand	40	1446117.61441	2.12143355936	3476
8	60	167765	106458	5453448	5453458	const	85	3665704.77605	0.672188883794	3476
8	254	523848	93912	5453448	5248493	lin	50	33355653.7186	6.35528211976	3476
8	177	335426	90469	5453448	5453498	mcpc	1	21447920.8393	3.93294906609	3476
8	251	523848	106723	5453448	5047317	ortb	200	33100875.2298	6.5581129994	3476
8	66	521536	145816	5453448	5453471	rand	90	4577577.75365	0.839395629578	3476
