1458
dsp_l:  34
prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
64	0	614638	0	706507	0	rand	2	0.0	0.0	1458
64	0	614638	1	706507	1	rand	4	-1.0	-1.0	1458
64	0	614638	547	706507	2180	rand	6	-2180.0	-1.0	1458
64	0	614638	3417	706507	16127	rand	8	-16127.0	-1.0	1458
64	2	614638	6125	706507	31389	rand	10	141716.289324	4.51483925335	1458
64	1	614638	9047	706507	52134	rand	12	34418.6446618	0.660195739091	1458
64	4	614638	12329	706507	79775	rand	14	266435.578647	3.33983802754	1458
64	5	614638	16062	706507	115668	rand	16	317095.223309	2.74142566059	1458
64	6	614638	20119	706507	162255	rand	18	357060.867971	2.20061550011	1458
64	5	614638	24158	706507	214621	rand	20	218142.223309	1.01640670442	1458
64	9	614638	38765	706507	449953	rand	25	329020.801956	0.731233710979	1458
64	14	614638	52079	706507	689611	rand	30	522126.025265	0.757131230889	1458
64	12	427206	47597	706507	706513	rand	35	332144.735941	0.470135665541	1458
64	10	328205	44102	706507	706509	rand	40	159046.446618	0.225125193378	1458
64	12	264211	41413	706507	706522	rand	45	332146.735941	0.470139827373	1458
64	9	223711	39101	706507	706513	rand	50	72475.801956	0.102584581918	1458
64	9	188058	36138	706507	706535	rand	55	72468.801956	0.102573657591	1458
64	11	160097	33267	706507	706523	rand	60	245596.09128	0.347631990125	1458
64	12	136076	31502	706507	706515	rand	65	332162.735941	0.470173122871	1458
64	10	117180	29745	706507	706525	rand	70	159027.446618	0.225092245874	1458
64	10	94625	26858	706507	706541	rand	75	159052.446618	0.225135598221	1458
64	11	79862	24934	706507	706558	rand	80	245575.09128	0.34759193335	1458
64	12	67459	23021	706507	706533	rand	85	332168.735941	0.470185609071	1458
64	9	59706	21962	706507	706534	rand	90	72481.801956	0.1025939458	1458
64	6	53323	21228	706507	706519	rand	95	-187133.132029	-0.264892627818	1458
64	11	49320	20613	706507	706559	rand	100	245575.09128	0.34759193335	1458
64	8	42584	19389	706507	706518	rand	110	-14076.8427058	-0.0199248160728	1458
64	9	38516	18891	706507	706545	rand	120	72478.801956	0.102589263839	1458
64	11	34938	18213	706507	706526	rand	130	245575.09128	0.34759193335	1458
